Date;Price;Open;High;Low;Vol.;Change %;;Kolumna B: symbol → wpisz HG=F we wszystkich wierszach (przeciągnij w dół)
01/30/2026;78.531;115.885;118.45;74;1.54K;-31.37%;;Kolumna C: name → wpisz Miedź
01/29/2026;114.429;116.625;121.785;106.61;193.65K;1.12%;;Kolumna D: currency → wpisz USD
01/28/2026;113.162;112.095;117.03;110.495;1.44K;7.17%;;Kolumna E: source → wpisz investing_com
01/27/2026;105.592;104.76;112.75;102.595;1.72K;-8.30%;;
01/26/2026;115.148;104.97;117.265;101.51;1.95K;13.63%;;
01/23/2026;101.333;96.32;103.53;96.22;139.09K;5.15%;;
01/22/2026;96.372;92.79;96.735;90.68;108.42K;4.03%;;
01/21/2026;92.637;94.55;95.53;90.15;128.65K;-2.11%;;
01/20/2026;94.636;90.605;95.78;90.5;199.93K;0.87%;;
01/19/2026;93.82;93.635;94.74;92.283;79.94K;-7.41%;;
01/18/2026;101.333;90.605;103.53;90.15;436.99K;14.45%;;
01.11.2026;88.537;80.505;93.7;79.9;897.43K;11.72%;;
01.06.2026;79.25;81.285;82.585;78.1;57.33K;-2.21%;;
01.05.2026;81.039;76.53;81.485;75.7;136.39K;5.72%;;
01.04.2026;76.657;73.08;77.835;72.505;131.25K;7.94%;;
01.01.2026;71.015;71.5;74.21;70.515;99.77K;0.58%;;
12/30/2025;70.603;76.065;76.275;69.255;148.60K;-9.39%;;
12/29/2025;77.919;71.685;78.065;70.67;168.12K;10.59%;;
12/28/2025;70.46;80;82.67;70.215;248.84K;-8.73%;;
12/25/2025;77.196;72.725;79.7;72.72;171.24K;7.69%;;
12/23/2025;71.685;71.68;72.75;70.16;94.82K;0.77%;;
12/22/2025;71.137;69.08;71.795;68.725;128.80K;3.75%;;
12/21/2025;68.565;67.55;69.525;67.47;98.56K;1.59%;;
12/18/2025;67.489;65.415;67.68;64.465;96.49K;3.48%;;
12/17/2025;65.219;66.51;66.825;64.675;111.67K;-2.51%;;
12/16/2025;66.901;63.795;67.18;63.725;147.11K;5.65%;;
12/15/2025;63.323;64.11;64.205;62.115;95.99K;2.12%;;
12.11.2025;62.007;63.985;65.085;61.015;189.23K;-4.00%;;
12.10.2025;64.592;62.235;64.72;61.78;134.40K;5.84%;;
12.09.2025;61.029;61.11;62.39;60.55;119.07K;0.31%;;
12.08.2025;60.84;58.515;61.295;57.99;118.78K;4.17%;;
12.07.2025;58.405;58.765;59.07;57.77;61.21K;-1.10%;;
12.04.2025;59.053;57.56;59.9;57.32;104.52K;2.72%;;
12.03.2025;57.491;58.98;59.235;56.85;99.36K;-1.93%;;
12.02.2025;58.62;59.16;59.655;58.21;103.40K;-0.14%;;
12.01.2025;58.703;58.45;59.32;57.225;108.76K;-0.74%;;
11/30/2025;59.142;57;59.435;56.85;141.45K;3.46%;;
11/26/2025;57.163;53.755;57.245;53.22;97.73K;6.63%;;
11/25/2025;53.607;51.75;53.79;51.545;86.09K;5.18%;;
11/24/2025;50.965;51.16;51.51;50.32;49.59K;1.27%;;
11/23/2025;50.326;49.855;51.215;49.37;57.17K;0.83%;;
11/20/2025;49.913;50.395;50.555;48.05;106.79K;-0.77%;;
11/19/2025;50.301;51.06;51.57;49.925;96.74K;-1.09%;;
11/18/2025;50.854;50.55;52.245;50.145;99.44K;0.66%;;
11/17/2025;50.521;50.06;51.035;49.115;76.56K;-0.37%;;
11/16/2025;50.711;50.405;51.11;49.345;73.31K;0.05%;;
11/13/2025;50.686;52.2;53.375;49.86;130.25K;-4.67%;;
11.12.2025;53.17;53.275;54.415;51.985;126.58K;-0.54%;;
11.11.2025;53.457;51.075;53.625;50.76;105.12K;5.35%;;
11.10.2025;50.744;50.445;51.13;50.15;72.74K;0.86%;;
11.09.2025;50.311;48.295;50.48;48.235;81.07K;4.50%;;
11.06.2025;48.143;47.86;48.73;47.78;64.22K;0.40%;;
11.05.2025;47.95;47.85;48.615;47.41;52.20K;-0.15%;;
11.04.2025;48.022;46.9;48.115;46.52;48.01K;1.55%;;
11.03.2025;47.291;47.885;47.965;46.65;61.29K;-1.80%;;
10/30/2025;48.16;48.73;48.995;47.975;58.10K;-0.94%;;
10/29/2025;48.616;47.29;48.835;47.095;63.30K;1.47%;;
10/28/2025;47.913;47.135;48.51;46.92;75.85K;1.24%;;
10/27/2025;47.324;46.85;47.375;45.51;78.34K;-2.60%;;
10/23/2025;48.586;48.66;48.765;47.385;72.55K;-0.24%;;
10/22/2025;48.704;48.145;49.225;47.64;67.56K;2.15%;;
