"Date","Price","Open","High","Low","Vol.","Change %"
"01/30/2026","5.9240","6.2845","6.3870","5.7600","0.79K","-4.51%"
"01/29/2026","6.2035","5.9970","6.5830","5.9550","197.66K","5.18%"
"01/28/2026","5.8980","5.9245","5.9730","5.8785","1.68K","1.11%"
"01/27/2026","5.8335","5.8905","5.9225","5.7835","4.62K","-2.63%"
"01/26/2026","5.9910","5.9220","6.0040","5.8685","0.91K","0.73%"
"01/23/2026","5.9475","5.8055","5.9670","5.7865","54.75K","2.92%"
"01/22/2026","5.7790","5.8100","5.8185","5.6960","48.18K","0.19%"
"01/21/2026","5.7680","5.8335","5.8960","5.7335","56.86K","-0.77%"
"01/20/2026","5.8125","5.8600","5.9370","5.7440","103.67K","-1.42%"
"01/19/2026","5.8965","5.9000","5.9368","5.8335","32.92K","-0.05%"
"01/18/2026","5.8993","5.8678","5.9135","5.8630","","1.17%"
"01/16/2026","5.8310","5.9930","6.0245","5.7715","69.75K","-2.68%"
"01/15/2026","5.9915","6.0990","6.1095","5.9080","58.29K","-1.06%"
"01/14/2026","6.0555","6.0050","6.1540","6.0040","61.22K","0.66%"
"01/13/2026","6.0160","6.0085","6.0935","5.9475","53.74K","-0.26%"
"01/12/2026","6.0315","5.8985","6.0690","5.8970","62.29K","2.19%"
"01/09/2026","5.9025","5.8075","5.9390","5.7385","47.97K","1.83%"
"01/08/2026","5.7965","5.8545","5.9285","5.6955","66.82K","-1.09%"
"01/07/2026","5.8605","6.0620","6.0695","5.8410","72.69K","-3.33%"
"01/06/2026","6.0625","5.9890","6.1125","5.9455","81.40K","1.46%"
"01/05/2026","5.9755","5.7095","6.0070","5.6995","57.09K","4.99%"
"01/02/2026","5.6915","5.6970","5.7590","5.6680","30.55K","-1.12%"
"01/01/2026","5.7560","5.6900","5.7585","5.6620","","1.30%"
"12/31/2025","5.6820","5.7535","5.7785","5.6375","33.74K","-1.72%"
"12/30/2025","5.7815","5.5745","5.7955","5.5350","50.41K","4.42%"
"12/29/2025","5.5370","5.8290","5.8855","5.5280","2.35K","-5.18%"
"12/26/2025","5.8395","5.6800","5.8880","5.6695","58.43K","2.64%"
"12/25/2025","5.6892","5.5730","5.7025","5.5730","3.20K","2.05%"
"12/24/2025","5.5750","5.5630","5.6645","5.5310","31.21K","0.41%"
"12/23/2025","5.5520","5.5010","5.6210","5.4840","47.69K","0.77%"
"12/22/2025","5.5095","5.4875","5.5530","5.4800","31.55K","-0.01%"
