created_at,symbol,name,price,currency,source
2026-01-30,HG=F,Miedź,5.924,USD,investing_com
2026-01-29,HG=F,Miedź,6.2035,USD,investing_com
2026-01-28,HG=F,Miedź,5.898,USD,investing_com
2026-01-27,HG=F,Miedź,5.8335,USD,investing_com
2026-01-26,HG=F,Miedź,5.991,USD,investing_com
2026-01-23,HG=F,Miedź,5.9475,USD,investing_com
2026-01-22,HG=F,Miedź,5.779,USD,investing_com
2026-01-21,HG=F,Miedź,5.768,USD,investing_com
2026-01-20,HG=F,Miedź,5.8125,USD,investing_com
2026-01-19,HG=F,Miedź,5.8965,USD,investing_com
2026-01-18,HG=F,Miedź,5.8993,USD,investing_com
2026-01-16,HG=F,Miedź,5.831,USD,investing_com
2026-01-15,HG=F,Miedź,5.9915,USD,investing_com
2026-01-14,HG=F,Miedź,6.0555,USD,investing_com
2026-01-13,HG=F,Miedź,6.016,USD,investing_com
2026-01-12,HG=F,Miedź,6.0315,USD,investing_com
2026-01-09,HG=F,Miedź,5.9025,USD,investing_com
2026-01-08,HG=F,Miedź,5.7965,USD,investing_com
2026-01-07,HG=F,Miedź,5.8605,USD,investing_com
2026-01-06,HG=F,Miedź,6.0625,USD,investing_com
2026-01-05,HG=F,Miedź,5.9755,USD,investing_com
2026-01-02,HG=F,Miedź,5.6915,USD,investing_com
2026-01-01,HG=F,Miedź,5.756,USD,investing_com
2025-12-31,HG=F,Miedź,5.682,USD,investing_com
2025-12-30,HG=F,Miedź,5.7815,USD,investing_com
2025-12-29,HG=F,Miedź,5.537,USD,investing_com
2025-12-26,HG=F,Miedź,5.8395,USD,investing_com
2025-12-25,HG=F,Miedź,5.6892,USD,investing_com
2025-12-24,HG=F,Miedź,5.575,USD,investing_com
2025-12-23,HG=F,Miedź,5.552,USD,investing_com
2025-12-22,HG=F,Miedź,5.5095,USD,investing_com
2025-12-19,HG=F,Miedź,5.51,USD,investing_com
2025-12-18,HG=F,Miedź,5.4375,USD,investing_com
2025-12-17,HG=F,Miedź,5.4355,USD,investing_com
2025-12-16,HG=F,Miedź,5.359,USD,investing_com
2025-12-15,HG=F,Miedź,5.412,USD,investing_com
2025-12-12,HG=F,Miedź,5.359,USD,investing_com
2025-12-11,HG=F,Miedź,5.5015,USD,investing_com
2025-12-10,HG=F,Miedź,5.3535,USD,investing_com
2025-12-09,HG=F,Miedź,5.32,USD,investing_com
2025-12-08,HG=F,Miedź,5.4445,USD,investing_com
2025-12-05,HG=F,Miedź,5.462,USD,investing_com
2025-12-04,HG=F,Miedź,5.3735,USD,investing_com
2025-12-03,HG=F,Miedź,5.389,USD,investing_com
2025-12-02,HG=F,Miedź,5.243,USD,investing_com
2025-12-01,HG=F,Miedź,5.303,USD,investing_com
2025-11-28,HG=F,Miedź,5.272,USD,investing_com
2025-11-27,HG=F,Miedź,5.1677,USD,investing_com
2025-11-26,HG=F,Miedź,5.194,USD,investing_com
2025-11-25,HG=F,Miedź,5.0625,USD,investing_com
2025-11-24,HG=F,Miedź,5.026,USD,investing_com
2025-11-21,HG=F,Miedź,5.096,USD,investing_com
2025-11-20,HG=F,Miedź,5.0485,USD,investing_com
2025-11-19,HG=F,Miedź,5.097,USD,investing_com
2025-11-18,HG=F,Miedź,5.0505,USD,investing_com
2025-11-17,HG=F,Miedź,5.0865,USD,investing_com
2025-11-14,HG=F,Miedź,5.063,USD,investing_com
2025-11-13,HG=F,Miedź,5.102,USD,investing_com
2025-11-12,HG=F,Miedź,5.1055,USD,investing_com
2025-11-11,HG=F,Miedź,5.066,USD,investing_com
2025-11-10,HG=F,Miedź,5.106,USD,investing_com
2025-11-07,HG=F,Miedź,4.957,USD,investing_com
2025-11-06,HG=F,Miedź,4.9675,USD,investing_com
2025-11-05,HG=F,Miedź,4.986,USD,investing_com
2025-11-04,HG=F,Miedź,4.9485,USD,investing_com
2025-11-03,HG=F,Miedź,5.069,USD,investing_com
2025-10-31,HG=F,Miedź,5.089,USD,investing_com
2025-10-30,HG=F,Miedź,5.104,USD,investing_com
2025-10-29,HG=F,Miedź,5.237,USD,investing_com
2025-10-28,HG=F,Miedź,5.145,USD,investing_com
2025-10-27,HG=F,Miedź,5.146,USD,investing_com
2025-10-24,HG=F,Miedź,5.1225,USD,investing_com
2025-10-23,HG=F,Miedź,5.1105,USD,investing_com
2025-10-22,HG=F,Miedź,4.9955,USD,investing_com
2025-10-21,HG=F,Miedź,4.966,USD,investing_com
2025-10-20,HG=F,Miedź,5.036,USD,investing_com
2025-10-17,HG=F,Miedź,4.9695,USD,investing_com
2025-10-16,HG=F,Miedź,4.999,USD,investing_com
2025-10-15,HG=F,Miedź,5.0145,USD,investing_com
2025-10-14,HG=F,Miedź,5.023,USD,investing_com
2025-10-13,HG=F,Miedź,5.144,USD,investing_com
2025-10-10,HG=F,Miedź,4.894,USD,investing_com
2025-10-09,HG=F,Miedź,5.123,USD,investing_com
2025-10-08,HG=F,Miedź,5.0945,USD,investing_com
2025-10-07,HG=F,Miedź,5.0975,USD,investing_com
2025-10-06,HG=F,Miedź,5.038,USD,investing_com
2025-10-03,HG=F,Miedź,5.109,USD,investing_com
2025-10-02,HG=F,Miedź,4.9495,USD,investing_com
2025-10-01,HG=F,Miedź,4.8825,USD,investing_com
2025-09-30,HG=F,Miedź,4.8565,USD,investing_com
2025-09-29,HG=F,Miedź,4.892,USD,investing_com
2025-09-26,HG=F,Miedź,4.746,USD,investing_com
2025-09-25,HG=F,Miedź,4.7325,USD,investing_com
2025-09-24,HG=F,Miedź,4.7885,USD,investing_com
2025-09-23,HG=F,Miedź,4.6195,USD,investing_com
2025-09-22,HG=F,Miedź,4.6075,USD,investing_com
2025-09-19,HG=F,Miedź,4.6275,USD,investing_com
2025-09-18,HG=F,Miedź,4.6005,USD,investing_com
2025-09-17,HG=F,Miedź,4.632,USD,investing_com
2025-09-16,HG=F,Miedź,4.694,USD,investing_com
2025-09-15,HG=F,Miedź,4.7175,USD,investing_com
2025-09-12,HG=F,Miedź,4.652,USD,investing_com
2025-09-11,HG=F,Miedź,4.658,USD,investing_com
2025-09-10,HG=F,Miedź,4.618,USD,investing_com
2025-09-09,HG=F,Miedź,4.5695,USD,investing_com
2025-09-08,HG=F,Miedź,4.5595,USD,investing_com
2025-09-05,HG=F,Miedź,4.551,USD,investing_com
2025-09-04,HG=F,Miedź,4.5585,USD,investing_com
2025-09-03,HG=F,Miedź,4.63,USD,investing_com
2025-09-02,HG=F,Miedź,4.641,USD,investing_com
2025-09-01,HG=F,Miedź,4.5825,USD,investing_com
2025-08-31,HG=F,Miedź,4.5853,USD,investing_com
2025-08-29,HG=F,Miedź,4.5905,USD,investing_com
2025-08-28,HG=F,Miedź,4.539,USD,investing_com
2025-08-27,HG=F,Miedź,4.4715,USD,investing_com
2025-08-26,HG=F,Miedź,4.51,USD,investing_com
2025-08-25,HG=F,Miedź,4.5265,USD,investing_com
2025-08-22,HG=F,Miedź,4.5275,USD,investing_com
2025-08-21,HG=F,Miedź,4.5115,USD,investing_com
2025-08-20,HG=F,Miedź,4.5105,USD,investing_com
2025-08-19,HG=F,Miedź,4.4885,USD,investing_com
2025-08-18,HG=F,Miedź,4.536,USD,investing_com
2025-08-15,HG=F,Miedź,4.4925,USD,investing_com
2025-08-14,HG=F,Miedź,4.4795,USD,investing_com
2025-08-13,HG=F,Miedź,4.4975,USD,investing_com
2025-08-12,HG=F,Miedź,4.5255,USD,investing_com
2025-08-11,HG=F,Miedź,4.44,USD,investing_com
2025-08-08,HG=F,Miedź,4.4715,USD,investing_com
2025-08-07,HG=F,Miedź,4.3985,USD,investing_com
2025-08-06,HG=F,Miedź,4.413,USD,investing_com
