created_at,symbol,name,price,currency,source
2026-01-30,ALI=F,Srebro,78.531,USD,investing_com
2026-01-29,ALI=F,Srebro,114.429,USD,investing_com
2026-01-28,ALI=F,Srebro,113.162,USD,investing_com
2026-01-27,ALI=F,Srebro,105.592,USD,investing_com
2026-01-26,ALI=F,Srebro,115.148,USD,investing_com
2026-01-23,ALI=F,Srebro,101.333,USD,investing_com
2026-01-22,ALI=F,Srebro,96.372,USD,investing_com
2026-01-21,ALI=F,Srebro,92.637,USD,investing_com
2026-01-20,ALI=F,Srebro,94.636,USD,investing_com
2026-01-19,ALI=F,Srebro,93.82,USD,investing_com
2026-01-18,ALI=F,Srebro,101.333,USD,investing_com
2026-01-11,ALI=F,Srebro,88.537,USD,investing_com
2026-01-06,ALI=F,Srebro,79.25,USD,investing_com
2026-01-05,ALI=F,Srebro,81.039,USD,investing_com
2026-01-04,ALI=F,Srebro,76.657,USD,investing_com
2026-01-01,ALI=F,Srebro,71.015,USD,investing_com
2025-12-30,ALI=F,Srebro,70.603,USD,investing_com
2025-12-29,ALI=F,Srebro,77.919,USD,investing_com
2025-12-28,ALI=F,Srebro,70.46,USD,investing_com
2025-12-25,ALI=F,Srebro,77.196,USD,investing_com
2025-12-23,ALI=F,Srebro,71.685,USD,investing_com
2025-12-22,ALI=F,Srebro,71.137,USD,investing_com
2025-12-21,ALI=F,Srebro,68.565,USD,investing_com
2025-12-18,ALI=F,Srebro,67.489,USD,investing_com
2025-12-17,ALI=F,Srebro,65.219,USD,investing_com
2025-12-16,ALI=F,Srebro,66.901,USD,investing_com
2025-12-15,ALI=F,Srebro,63.323,USD,investing_com
2025-12-11,ALI=F,Srebro,62.007,USD,investing_com
2025-12-10,ALI=F,Srebro,64.592,USD,investing_com
2025-12-09,ALI=F,Srebro,61.029,USD,investing_com
2025-12-08,ALI=F,Srebro,60.84,USD,investing_com
2025-12-07,ALI=F,Srebro,58.405,USD,investing_com
2025-12-04,ALI=F,Srebro,59.053,USD,investing_com
2025-12-03,ALI=F,Srebro,57.491,USD,investing_com
2025-12-02,ALI=F,Srebro,58.62,USD,investing_com
2025-12-01,ALI=F,Srebro,58.703,USD,investing_com
2025-11-30,ALI=F,Srebro,59.142,USD,investing_com
2025-11-26,ALI=F,Srebro,57.163,USD,investing_com
2025-11-25,ALI=F,Srebro,53.607,USD,investing_com
2025-11-24,ALI=F,Srebro,50.965,USD,investing_com
2025-11-23,ALI=F,Srebro,50.326,USD,investing_com
2025-11-20,ALI=F,Srebro,49.913,USD,investing_com
2025-11-19,ALI=F,Srebro,50.301,USD,investing_com
2025-11-18,ALI=F,Srebro,50.854,USD,investing_com
2025-11-17,ALI=F,Srebro,50.521,USD,investing_com
2025-11-16,ALI=F,Srebro,50.711,USD,investing_com
2025-11-13,ALI=F,Srebro,50.686,USD,investing_com
2025-11-12,ALI=F,Srebro,53.17,USD,investing_com
2025-11-11,ALI=F,Srebro,53.457,USD,investing_com
2025-11-10,ALI=F,Srebro,50.744,USD,investing_com
2025-11-09,ALI=F,Srebro,50.311,USD,investing_com
2025-11-06,ALI=F,Srebro,48.143,USD,investing_com
2025-11-05,ALI=F,Srebro,47.95,USD,investing_com
2025-11-04,ALI=F,Srebro,48.022,USD,investing_com
2025-11-03,ALI=F,Srebro,47.291,USD,investing_com
2025-10-30,ALI=F,Srebro,48.16,USD,investing_com
2025-10-29,ALI=F,Srebro,48.616,USD,investing_com
2025-10-28,ALI=F,Srebro,47.913,USD,investing_com
2025-10-27,ALI=F,Srebro,47.324,USD,investing_com
2025-10-23,ALI=F,Srebro,48.586,USD,investing_com
2025-10-22,ALI=F,Srebro,48.704,USD,investing_com
2025-10-21,ALI=F,Srebro,47.681,USD,investing_com
2025-10-20,ALI=F,Srebro,47.704,USD,investing_com
2025-10-16,ALI=F,Srebro,50.104,USD,investing_com
2025-10-15,ALI=F,Srebro,53.296,USD,investing_com
2025-10-14,ALI=F,Srebro,51.378,USD,investing_com
2025-10-13,ALI=F,Srebro,50.622,USD,investing_com
2025-10-09,ALI=F,Srebro,47.247,USD,investing_com
2025-10-08,ALI=F,Srebro,47.157,USD,investing_com
2025-10-07,ALI=F,Srebro,48.994,USD,investing_com
2025-10-06,ALI=F,Srebro,47.515,USD,investing_com
2025-10-05,ALI=F,Srebro,47.157,USD,investing_com
2025-10-02,ALI=F,Srebro,46.369,USD,investing_com
2025-10-01,ALI=F,Srebro,47.679,USD,investing_com
2025-09-30,ALI=F,Srebro,46.64,USD,investing_com
2025-09-29,ALI=F,Srebro,47.016,USD,investing_com
2025-09-25,ALI=F,Srebro,44.933,USD,investing_com
2025-09-24,ALI=F,Srebro,44.02,USD,investing_com
2025-09-23,ALI=F,Srebro,44.437,USD,investing_com
2025-09-22,ALI=F,Srebro,44.044,USD,investing_com
2025-09-18,ALI=F,Srebro,42.118,USD,investing_com
2025-09-17,ALI=F,Srebro,42.152,USD,investing_com
2025-09-16,ALI=F,Srebro,42.917,USD,investing_com
2025-09-15,ALI=F,Srebro,42.962,USD,investing_com
2025-09-11,ALI=F,Srebro,42.149,USD,investing_com
2025-09-10,ALI=F,Srebro,41.6,USD,investing_com
2025-09-09,ALI=F,Srebro,41.341,USD,investing_com
2025-09-08,ALI=F,Srebro,41.902,USD,investing_com
2025-09-04,ALI=F,Srebro,41.417,USD,investing_com
2025-09-03,ALI=F,Srebro,42.06,USD,investing_com
2025-09-02,ALI=F,Srebro,41.592,USD,investing_com
2025-08-31,ALI=F,Srebro,40.662,USD,investing_com
2025-08-28,ALI=F,Srebro,39.703,USD,investing_com
2025-08-27,ALI=F,Srebro,39.056,USD,investing_com
2025-08-26,ALI=F,Srebro,38.955,USD,investing_com
2025-08-25,ALI=F,Srebro,39.051,USD,investing_com
2025-08-21,ALI=F,Srebro,38.079,USD,investing_com
2025-08-20,ALI=F,Srebro,37.773,USD,investing_com
2025-08-19,ALI=F,Srebro,37.332,USD,investing_com
2025-08-18,ALI=F,Srebro,38.029,USD,investing_com
2025-08-14,ALI=F,Srebro,38.069,USD,investing_com
2025-08-13,ALI=F,Srebro,38.602,USD,investing_com
2025-08-12,ALI=F,Srebro,38.002,USD,investing_com
2025-08-11,ALI=F,Srebro,37.787,USD,investing_com
2025-08-07,ALI=F,Srebro,38.294,USD,investing_com
2025-08-06,ALI=F,Srebro,37.902,USD,investing_com
2025-08-05,ALI=F,Srebro,37.823,USD,investing_com
2025-08-04,ALI=F,Srebro,37.328,USD,investing_com
2025-07-31,ALI=F,Srebro,36.712,USD,investing_com
2025-07-30,ALI=F,Srebro,37.739,USD,investing_com
2025-07-29,ALI=F,Srebro,38.101,USD,investing_com
2025-07-28,ALI=F,Srebro,38.043,USD,investing_com
2025-07-24,ALI=F,Srebro,39.224,USD,investing_com
2025-07-23,ALI=F,Srebro,39.503,USD,investing_com
2025-07-22,ALI=F,Srebro,39.555,USD,investing_com
2025-07-21,ALI=F,Srebro,39.334,USD,investing_com
2025-07-17,ALI=F,Srebro,38.303,USD,investing_com
2025-07-16,ALI=F,Srebro,38.119,USD,investing_com
2025-07-15,ALI=F,Srebro,38.11,USD,investing_com
2025-07-14,ALI=F,Srebro,38.742,USD,investing_com
2025-07-10,ALI=F,Srebro,37.305,USD,investing_com
2025-07-09,ALI=F,Srebro,36.63,USD,investing_com
2025-07-08,ALI=F,Srebro,36.749,USD,investing_com
2025-07-07,ALI=F,Srebro,36.904,USD,investing_com
2025-07-03,ALI=F,Srebro,37.084,USD,investing_com
2025-07-02,ALI=F,Srebro,36.727,USD,investing_com
2025-07-01,ALI=F,Srebro,36.397,USD,investing_com
2025-06-30,ALI=F,Srebro,36.172,USD,investing_com
2025-06-26,ALI=F,Srebro,36.757,USD,investing_com
2025-06-25,ALI=F,Srebro,36.085,USD,investing_com
2025-06-24,ALI=F,Srebro,35.701,USD,investing_com
2025-06-23,ALI=F,Srebro,36.153,USD,investing_com
2025-06-18,ALI=F,Srebro,36.913,USD,investing_com
2025-06-17,ALI=F,Srebro,37.151,USD,investing_com
2025-06-16,ALI=F,Srebro,36.448,USD,investing_com
2025-06-12,ALI=F,Srebro,36.295,USD,investing_com
2025-06-11,ALI=F,Srebro,36.261,USD,investing_com
2025-06-10,ALI=F,Srebro,36.642,USD,investing_com
2025-06-09,ALI=F,Srebro,36.796,USD,investing_com
2025-06-05,ALI=F,Srebro,35.805,USD,investing_com
2025-06-04,ALI=F,Srebro,34.648,USD,investing_com
2025-06-03,ALI=F,Srebro,34.633,USD,investing_com
2025-06-02,ALI=F,Srebro,34.694,USD,investing_com
2025-05-29,ALI=F,Srebro,33.423,USD,investing_com
2025-05-28,ALI=F,Srebro,33.16,USD,investing_com
2025-05-27,ALI=F,Srebro,33.311,USD,investing_com
2025-05-25,ALI=F,Srebro,33.595,USD,investing_com
2025-05-22,ALI=F,Srebro,33.219,USD,investing_com
2025-05-21,ALI=F,Srebro,33.646,USD,investing_com
2025-05-20,ALI=F,Srebro,33.174,USD,investing_com
2025-05-19,ALI=F,Srebro,32.507,USD,investing_com
2025-05-15,ALI=F,Srebro,32.68,USD,investing_com
2025-05-14,ALI=F,Srebro,32.444,USD,investing_com
2025-05-13,ALI=F,Srebro,33.1,USD,investing_com
2025-05-12,ALI=F,Srebro,32.624,USD,investing_com
2025-05-08,ALI=F,Srebro,32.617,USD,investing_com
2025-05-07,ALI=F,Srebro,32.791,USD,investing_com
2025-05-06,ALI=F,Srebro,33.381,USD,investing_com
2025-05-05,ALI=F,Srebro,32.474,USD,investing_com
2025-05-01,ALI=F,Srebro,32.469,USD,investing_com
2025-04-30,ALI=F,Srebro,32.828,USD,investing_com
2025-04-29,ALI=F,Srebro,33.577,USD,investing_com
2025-04-28,ALI=F,Srebro,33.165,USD,investing_com
2025-04-24,ALI=F,Srebro,33.503,USD,investing_com
2025-04-23,ALI=F,Srebro,33.547,USD,investing_com
2025-04-22,ALI=F,Srebro,32.905,USD,investing_com
2025-04-21,ALI=F,Srebro,32.521,USD,investing_com
2025-04-16,ALI=F,Srebro,32.98,USD,investing_com
2025-04-15,ALI=F,Srebro,32.297,USD,investing_com
2025-04-14,ALI=F,Srebro,32.167,USD,investing_com
2025-04-10,ALI=F,Srebro,30.759,USD,investing_com
2025-04-09,ALI=F,Srebro,30.415,USD,investing_com
2025-04-08,ALI=F,Srebro,29.686,USD,investing_com
2025-04-07,ALI=F,Srebro,29.604,USD,investing_com
2025-04-03,ALI=F,Srebro,31.97,USD,investing_com
2025-04-02,ALI=F,Srebro,34.65,USD,investing_com
2025-04-01,ALI=F,Srebro,34.309,USD,investing_com
2025-03-31,ALI=F,Srebro,34.611,USD,investing_com
2025-03-27,ALI=F,Srebro,34.905,USD,investing_com
2025-03-26,ALI=F,Srebro,34.054,USD,investing_com
2025-03-25,ALI=F,Srebro,34.023,USD,investing_com
2025-03-24,ALI=F,Srebro,33.45,USD,investing_com
2025-03-20,ALI=F,Srebro,33.991,USD,investing_com
2025-03-19,ALI=F,Srebro,34.205,USD,investing_com
2025-03-18,ALI=F,Srebro,34.818,USD,investing_com
2025-03-17,ALI=F,Srebro,34.308,USD,investing_com
2025-03-13,ALI=F,Srebro,34.306,USD,investing_com
2025-03-12,ALI=F,Srebro,33.743,USD,investing_com
2025-03-11,ALI=F,Srebro,33.147,USD,investing_com
2025-03-10,ALI=F,Srebro,32.53,USD,investing_com
2025-03-06,ALI=F,Srebro,33.338,USD,investing_com
2025-03-05,ALI=F,Srebro,33.134,USD,investing_com
2025-03-04,ALI=F,Srebro,32.381,USD,investing_com
2025-03-03,ALI=F,Srebro,32.31,USD,investing_com
2025-02-27,ALI=F,Srebro,32.11,USD,investing_com
2025-02-26,ALI=F,Srebro,32.419,USD,investing_com
2025-02-25,ALI=F,Srebro,31.976,USD,investing_com
2025-02-24,ALI=F,Srebro,32.763,USD,investing_com
2025-02-20,ALI=F,Srebro,33.486,USD,investing_com
2025-02-19,ALI=F,Srebro,33.043,USD,investing_com
2025-02-18,ALI=F,Srebro,33.373,USD,investing_com
2025-02-13,ALI=F,Srebro,32.726,USD,investing_com
2025-02-12,ALI=F,Srebro,32.785,USD,investing_com
2025-02-11,ALI=F,Srebro,32.322,USD,investing_com
2025-02-10,ALI=F,Srebro,32.491,USD,investing_com
2025-02-06,ALI=F,Srebro,32.626,USD,investing_com
2025-02-05,ALI=F,Srebro,32.976,USD,investing_com
2025-02-04,ALI=F,Srebro,33.022,USD,investing_com
2025-02-03,ALI=F,Srebro,32.526,USD,investing_com
2025-01-30,ALI=F,Srebro,32.493,USD,investing_com
2025-01-29,ALI=F,Srebro,31.264,USD,investing_com
2025-01-28,ALI=F,Srebro,30.755,USD,investing_com
2025-01-27,ALI=F,Srebro,30.283,USD,investing_com
2025-01-23,ALI=F,Srebro,30.712,USD,investing_com
2025-01-22,ALI=F,Srebro,31.42,USD,investing_com
2025-01-21,ALI=F,Srebro,31.496,USD,investing_com
2025-01-16,ALI=F,Srebro,31.725,USD,investing_com
2025-01-15,ALI=F,Srebro,31.531,USD,investing_com
2025-01-14,ALI=F,Srebro,30.351,USD,investing_com
2025-01-13,ALI=F,Srebro,30.309,USD,investing_com
2025-01-09,ALI=F,Srebro,31.015,USD,investing_com
2025-01-08,ALI=F,Srebro,30.69,USD,investing_com
2025-01-07,ALI=F,Srebro,30.686,USD,investing_com
2025-01-06,ALI=F,Srebro,30.583,USD,investing_com
2025-01-02,ALI=F,Srebro,29.9,USD,investing_com
2024-12-30,ALI=F,Srebro,29.412,USD,investing_com
2024-12-26,ALI=F,Srebro,30.234,USD,investing_com
2024-12-23,ALI=F,Srebro,30.06,USD,investing_com
2024-12-19,ALI=F,Srebro,29.282,USD,investing_com
2024-12-18,ALI=F,Srebro,30.61,USD,investing_com
2024-12-17,ALI=F,Srebro,30.796,USD,investing_com
2024-12-16,ALI=F,Srebro,30.927,USD,investing_com
2024-12-12,ALI=F,Srebro,31.482,USD,investing_com
2024-12-11,ALI=F,Srebro,32.823,USD,investing_com
2024-12-10,ALI=F,Srebro,32.612,USD,investing_com
2024-12-09,ALI=F,Srebro,32.481,USD,investing_com
2024-12-05,ALI=F,Srebro,31.406,USD,investing_com
2024-12-04,ALI=F,Srebro,31.786,USD,investing_com
2024-12-03,ALI=F,Srebro,31.363,USD,investing_com
2024-12-02,ALI=F,Srebro,30.742,USD,investing_com
2024-11-27,ALI=F,Srebro,30.455,USD,investing_com
2024-11-26,ALI=F,Srebro,30.567,USD,investing_com
2024-11-25,ALI=F,Srebro,30.396,USD,investing_com
2024-11-21,ALI=F,Srebro,31.099,USD,investing_com
2024-11-20,ALI=F,Srebro,31.159,USD,investing_com
2024-11-19,ALI=F,Srebro,31.417,USD,investing_com
2024-11-18,ALI=F,Srebro,31.379,USD,investing_com
2024-11-14,ALI=F,Srebro,30.724,USD,investing_com
2024-11-13,ALI=F,Srebro,30.817,USD,investing_com
2024-11-12,ALI=F,Srebro,30.915,USD,investing_com
2024-11-11,ALI=F,Srebro,30.768,USD,investing_com
2024-11-07,ALI=F,Srebro,32.013,USD,investing_com
2024-11-06,ALI=F,Srebro,31.485,USD,investing_com
2024-11-05,ALI=F,Srebro,32.934,USD,investing_com
2024-11-04,ALI=F,Srebro,32.765,USD,investing_com
2024-10-31,ALI=F,Srebro,32.953,USD,investing_com
2024-10-30,ALI=F,Srebro,34.234,USD,investing_com
2024-10-29,ALI=F,Srebro,34.441,USD,investing_com
2024-10-28,ALI=F,Srebro,34.001,USD,investing_com
2024-10-24,ALI=F,Srebro,33.795,USD,investing_com
2024-10-23,ALI=F,Srebro,33.839,USD,investing_com
2024-10-22,ALI=F,Srebro,35.041,USD,investing_com
2024-10-21,ALI=F,Srebro,34.078,USD,investing_com
2024-10-17,ALI=F,Srebro,31.774,USD,investing_com
2024-10-16,ALI=F,Srebro,31.974,USD,investing_com
2024-10-15,ALI=F,Srebro,31.756,USD,investing_com
2024-10-14,ALI=F,Srebro,31.316,USD,investing_com
2024-10-10,ALI=F,Srebro,31.24,USD,investing_com
2024-10-09,ALI=F,Srebro,30.67,USD,investing_com
2024-10-08,ALI=F,Srebro,30.6,USD,investing_com
2024-10-07,ALI=F,Srebro,32.004,USD,investing_com
2024-10-03,ALI=F,Srebro,32.464,USD,investing_com
2024-10-02,ALI=F,Srebro,31.92,USD,investing_com
2024-10-01,ALI=F,Srebro,31.742,USD,investing_com
2024-09-30,ALI=F,Srebro,31.458,USD,investing_com
2024-09-26,ALI=F,Srebro,32.195,USD,investing_com
2024-09-25,ALI=F,Srebro,31.87,USD,investing_com
2024-09-24,ALI=F,Srebro,32.28,USD,investing_com
2024-09-23,ALI=F,Srebro,30.94,USD,investing_com
2024-09-19,ALI=F,Srebro,31.281,USD,investing_com
2024-09-18,ALI=F,Srebro,30.542,USD,investing_com
2024-09-17,ALI=F,Srebro,30.834,USD,investing_com
2024-09-16,ALI=F,Srebro,30.99,USD,investing_com
2024-09-12,ALI=F,Srebro,29.967,USD,investing_com
2024-09-11,ALI=F,Srebro,28.793,USD,investing_com
2024-09-10,ALI=F,Srebro,28.484,USD,investing_com
2024-09-09,ALI=F,Srebro,28.521,USD,investing_com
2024-09-05,ALI=F,Srebro,28.96,USD,investing_com
2024-09-04,ALI=F,Srebro,28.421,USD,investing_com
2024-09-03,ALI=F,Srebro,28.208,USD,investing_com
